Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
--------------------------------------------------------------------------
2023-11-07 06:56:38 SHIYAN 20A (SY-20A)  175.4 15.0  ecl  1900 142.2  44.7
2023-11-07 07:00:36 SHIYAN 20A (SY-20A)  115.7 35.7  ecl  1900 142.2  44.7
2023-11-07 07:04:33 SHIYAN 20A (SY-20A)   56.1 15.0  ecl  1900 142.2  44.7

2023-11-07 07:02:30 YAOGAN-40 01A        338.2 15.0  ecl  1900 142.2  44.7
2023-11-07 07:06:48 YAOGAN-40 01A        272.2 43.3  ecl  1900 142.2  44.7
2023-11-07 07:11:06 YAOGAN-40 01A        205.9 15.0  ecl  1900 142.2  44.7

2023-11-07 07:02:45 YAOGAN-40 01B        338.0 15.0  ecl  1900 142.2  44.7
2023-11-07 07:07:02 YAOGAN-40 01B        272.2 43.0  ecl  1900 142.2  44.7
2023-11-07 07:11:20 YAOGAN-40 01B        206.2 15.0  ecl  1900 142.2  44.7

2023-11-07 07:23:41 YAOGAN-39 03C        149.5 15.0  ecl  1900 142.2  44.7
2023-11-07 07:24:03 YAOGAN-39 03C        142.6 15.2  ecl  1900 142.2  44.7
2023-11-07 07:24:25 YAOGAN-39 03C        135.7 15.0  ecl  1900 142.2  44.7

2023-11-07 07:28:09 YAOGAN-39 03B        164.3 15.0  ecl  1900 142.2  44.7
2023-11-07 07:29:17 YAOGAN-39 03B        142.9 16.8  ecl  1900 142.2  44.7
2023-11-07 07:30:25 YAOGAN-39 03B        121.5 15.0  ecl  1900 142.2  44.7

2023-11-07 07:28:25 YAOGAN-39 03A        164.6 15.0  ecl  1900 142.2  44.7
2023-11-07 07:29:33 YAOGAN-39 03A        142.9 16.8  ecl  1900 142.2  44.7
2023-11-07 07:30:42 YAOGAN-39 03A        121.3 15.0  ecl  1900 142.2  44.7

2023-11-07 07:32:14 YAOGAN-40 01C        301.4 15.0  ecl  1900 142.2  44.7
2023-11-07 07:34:09 YAOGAN-40 01C        274.8 18.2  ecl  1900 142.2  44.7
2023-11-07 07:36:05 YAOGAN-40 01C        248.0 15.0  ecl  1900 142.2  44.7

2023-11-07 07:35:00 YAOGAN-37            289.7 15.0  ecl  1900 142.2  44.7
2023-11-07 07:37:58 YAOGAN-37            223.8 40.7  ecl  1900 142.2  44.7
2023-11-07 07:40:55 YAOGAN-37            157.9 15.0  ecl  1900 142.2  44.7

2023-11-07 08:41:57 SHIYAN 20A (SY-20A)  266.1 15.0  ecl  1900 142.2  44.7
2023-11-07 08:44:53 SHIYAN 20A (SY-20A)  305.9 22.4  ecl  1900 142.2  44.7
2023-11-07 08:47:49 SHIYAN 20A (SY-20A)  345.9 15.0  ecl  1900 142.2  44.7

2023-11-07 09:00:24 YAOGAN-39 03C        246.5 15.0  ecl  1900 142.2  44.7
2023-11-07 09:03:31 YAOGAN-39 03C        330.5 73.1  ecl  1900 142.2  44.7
2023-11-07 09:06:39 YAOGAN-39 03C         54.6 15.0  ecl  1900 142.2  44.7

2023-11-07 09:05:42 YAOGAN-39 03B        249.8 15.0  ecl  1900 142.2  44.7
2023-11-07 09:08:48 YAOGAN-39 03B        331.1 66.2  ecl  1900 142.2  44.7
2023-11-07 09:11:54 YAOGAN-39 03B         52.3 15.0  ecl  1900 142.2  44.7

2023-11-07 09:05:58 YAOGAN-39 03A        250.0 15.0  ecl  1900 142.2  44.7
2023-11-07 09:09:03 YAOGAN-39 03A        331.1 65.8  ecl  1900 142.2  44.7
2023-11-07 09:12:09 YAOGAN-39 03A         52.2 15.0  ecl  1900 142.2  44.7

2023-11-07 09:22:05 CBERS-4               76.7 15.0  ecl  1900 142.2  44.7
2023-11-07 09:23:34 CBERS-4               97.4 16.8  ecl  1900 142.2  44.7
2023-11-07 09:25:04 CBERS-4              118.0 15.0  ecl  1900 142.2  44.7

2023-11-07 09:26:22 HAIYANG 1C            51.4 15.0  ecl  1900 142.2  44.7
2023-11-07 09:29:31 HAIYANG 1C            98.7 26.0  ecl  1900 142.2  44.7
2023-11-07 09:32:40 HAIYANG 1C           145.9 15.0  ecl  1900 142.2  44.7

2023-11-07 09:56:27 T2V                   34.9 15.0  ecl  1900 142.2  44.7
2023-11-07 09:59:42 T2V                   99.8 39.6  ecl  1900 142.2  44.7
2023-11-07 10:02:56 T2V                  164.6 15.0  ecl  1900 142.2  44.7

2023-11-07 10:42:14 YAOGAN-39 03C        317.2 15.0  ecl  1900 142.2  44.7
2023-11-07 10:43:35 YAOGAN-39 03C        342.7 17.5  ecl  1900 142.2  44.7
2023-11-07 10:44:56 YAOGAN-39 03C          8.3 15.0  ecl  1900 142.2  44.7

2023-11-07 10:47:47 YAOGAN-39 03B        322.3 15.0  ecl  1900 142.2  44.7
2023-11-07 10:48:55 YAOGAN-39 03B        343.4 16.7  ecl  1900 142.2  44.7
2023-11-07 10:50:02 YAOGAN-39 03B          4.6 15.0  ecl  1900 142.2  44.7

2023-11-07 10:48:04 YAOGAN-39 03A        323.0 15.0  ecl  1900 142.2  44.7
2023-11-07 10:49:09 YAOGAN-39 03A        343.4 16.6  ecl  1900 142.2  44.7
2023-11-07 10:50:14 YAOGAN-39 03A          3.9 15.0  ecl  1900 142.2  44.7

2023-11-07 10:59:02 CBERS-4              343.9 15.0  ecl  1900 142.2  44.7
2023-11-07 11:02:39 CBERS-4              286.1 34.1  ecl  1900 142.2  44.7
2023-11-07 11:06:16 CBERS-4              228.1 15.0  ecl  1900 142.2  44.7

2023-11-07 11:05:45 HAIYANG 1C           327.8 15.0  ecl  1900 142.2  44.7
2023-11-07 11:08:31 HAIYANG 1C           287.6 22.8  ecl  1900 142.2  44.7
2023-11-07 11:11:17 HAIYANG 1C           247.3 15.0  ecl  1900 142.2  44.7

2023-11-07 11:12:31 JILIN-01 KUANFU 02A   24.9 15.0  ecl  1900 142.2  44.7
2023-11-07 11:15:35 JILIN-01 KUANFU 02A  100.4 54.7  ecl  1900 142.2  44.7
2023-11-07 11:18:40 JILIN-01 KUANFU 02A  175.9 15.0  ecl  1900 142.2  44.7

2023-11-07 11:14:02 GAOFEN 12 04         133.9 15.0  ecl  1900 142.2  44.7
2023-11-07 11:17:06 GAOFEN 12 04          75.1 33.9  ecl  1900 142.2  44.7
2023-11-07 11:20:10 GAOFEN 12 04          16.6 15.0  ecl  1900 142.2  44.7

2023-11-07 11:51:19 YAOGAN-33 03         147.2 15.0  ecl  1900 142.2  44.7
2023-11-07 11:55:01 YAOGAN-33 03          75.8 49.7  ecl  1900 142.2  44.7
2023-11-07 11:58:43 YAOGAN-33 03           4.6 15.0  ecl  1900 142.2  44.7

2023-11-07 12:24:11 HAIYANG 1D           120.0 15.0  ecl  1900 142.2  44.7
2023-11-07 12:27:19 HAIYANG 1D            72.8 26.3  ecl  1900 142.2  44.7
2023-11-07 12:30:27 HAIYANG 1D            25.7 15.0  ecl  1900 142.2  44.7

2023-11-07 12:36:59 YAOGAN-39 04C        197.7 15.0  ecl  1900 142.2  44.7
2023-11-07 12:39:26 YAOGAN-39 04C        144.8 28.4  ecl  1900 142.2  44.7
2023-11-07 12:41:54 YAOGAN-39 04C         92.0 15.0  ecl  1900 142.2  44.7

2023-11-07 12:40:42 YAOGAN-39 04B        201.0 15.0  ecl  1900 142.2  44.7
2023-11-07 12:43:16 YAOGAN-39 04B        145.1 30.7  ecl  1900 142.2  44.7
2023-11-07 12:45:49 YAOGAN-39 04B         89.1 15.0  ecl  1900 142.2  44.7

2023-11-07 12:47:17 YAOGAN-39 04A        206.5 15.0  ecl  1900 142.2  44.7
2023-11-07 12:50:00 YAOGAN-39 04A        145.5 35.0  ecl  1900 142.2  44.7
2023-11-07 12:52:43 YAOGAN-39 04A         84.6 15.0  ecl  1900 142.2  44.7

2023-11-07 13:42:13 YAOGAN-33 04         137.5 15.0  ecl  1900 142.2  44.7
2023-11-07 13:45:41 YAOGAN-33 04          75.0 38.0  ecl  1900 142.2  44.7
2023-11-07 13:49:09 YAOGAN-33 04          12.7 15.0  ecl  1900 142.2  44.7

2023-11-07 14:03:40 HAIYANG 1D           222.2 15.0  ecl  1900 142.2  44.7
2023-11-07 14:06:22 HAIYANG 1D           261.6 22.2  ecl  1900 142.2  44.7
2023-11-07 14:09:05 HAIYANG 1D           301.1 15.0  ecl  1900 142.2  44.7

2023-11-07 14:16:19 YAOGAN-39 04C        268.7 15.0  ecl  1900 142.2  44.7
2023-11-07 14:19:07 YAOGAN-39 04C        334.2 39.2  ecl  1900 142.2  44.7
2023-11-07 14:21:56 YAOGAN-39 04C         39.7 15.0  ecl  1900 142.2  44.7

2023-11-07 14:20:13 YAOGAN-39 04B        271.1 15.0  ecl  1900 142.2  44.7
2023-11-07 14:22:59 YAOGAN-39 04B        334.6 37.0  ecl  1900 142.2  44.7
