Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
--------------------------------------------------------------------------
2023-11-07 00:08:39 YAOGAN-36 05A          5.8 15.0  ecl  1900 142.2  44.7
2023-11-07 00:09:11 YAOGAN-36 05A         15.6 15.3  ecl  1900 142.2  44.7
2023-11-07 00:09:42 YAOGAN-36 05A         25.3 15.0  ecl  1900 142.2  44.7

2023-11-07 00:18:45 YAOGAN-35 04B        347.0 15.0  ecl  1900 142.2  44.7
2023-11-07 00:20:21 YAOGAN-35 04B         18.8 19.0  ecl  1900 142.2  44.7
2023-11-07 00:21:58 YAOGAN-35 04B         50.6 15.0  ecl  1900 142.2  44.7

2023-11-07 00:18:45 YAOGAN-35 04B        347.0 15.0  ecl  1900 142.2  44.7
2023-11-07 00:20:21 YAOGAN-35 04B         18.8 19.0  ecl  1900 142.2  44.7
2023-11-07 00:21:58 YAOGAN-35 04B         50.6 15.0  ecl  1900 142.2  44.7

2023-11-07 00:32:07 YAOGAN-36 05C        345.3 15.0  ecl  1900 142.2  44.7
2023-11-07 00:33:50 YAOGAN-36 05C         18.9 19.5  ecl  1900 142.2  44.7
2023-11-07 00:35:33 YAOGAN-36 05C         52.5 15.0  ecl  1900 142.2  44.7

2023-11-07 00:35:34 YAOGAN-30 P          347.6 15.0  ecl  1900 142.2  44.7
2023-11-07 00:35:41 YAOGAN-30 P          349.4 15.0  ecl  1900 142.2  44.7
2023-11-07 00:35:47 YAOGAN-30 P          351.2 15.0  ecl  1900 142.2  44.7

2023-11-07 00:50:39 YAOGAN-36 05B        336.2 15.0  ecl  1900 142.2  44.7
2023-11-07 00:52:51 YAOGAN-36 05B         21.4 23.9  ecl  1900 142.2  44.7
2023-11-07 00:55:03 YAOGAN-36 05B         66.6 15.0  ecl  1900 142.2  44.7

2023-11-07 01:15:13 HAIYANG 1D            28.0 15.0  ecl  1900 142.2  44.7
2023-11-07 01:19:20 HAIYANG 1D           101.0 51.7  ecl  1900 142.2  44.7
2023-11-07 01:23:26 HAIYANG 1D           173.9 15.0  ecl  1900 142.2  44.7

2023-11-07 01:46:16 YAOGAN-36 05A        310.8 15.0  ecl  1900 142.2  44.7
2023-11-07 01:49:16 YAOGAN-36 05A         28.2 57.8  ecl  1900 142.2  44.7
2023-11-07 01:52:17 YAOGAN-36 05A        105.6 15.0  ecl  1900 142.2  44.7

2023-11-07 01:47:08 YAOGAN-31 D          178.9 15.0  ecl  1900 142.2  44.7
2023-11-07 01:52:19 YAOGAN-31 D          111.8 45.3  ecl  1900 142.2  44.7
2023-11-07 01:57:34 YAOGAN-31 D           45.0 15.0  ecl  1900 142.2  44.7

2023-11-07 01:47:13 YAOGAN-31 E          181.9 15.0  ecl  1900 142.2  44.7
2023-11-07 01:52:30 YAOGAN-31 E          112.1 49.0  ecl  1900 142.2  44.7
2023-11-07 01:57:51 YAOGAN-31 E           42.6 15.0  ecl  1900 142.2  44.7

2023-11-07 01:57:06 YAOGAN-35 04B        300.4 15.0  ecl  1900 142.2  44.7
2023-11-07 02:00:11 YAOGAN-35 04B         30.5 89.5  ecl  1900 142.2  44.7
2023-11-07 02:03:15 YAOGAN-35 04B        120.6 15.0  ecl  1900 142.2  44.7

2023-11-07 01:57:06 YAOGAN-35 04B        300.4 15.0  ecl  1900 142.2  44.7
2023-11-07 02:00:11 YAOGAN-35 04B         30.5 89.5  ecl  1900 142.2  44.7
2023-11-07 02:03:15 YAOGAN-35 04B        120.6 15.0  ecl  1900 142.2  44.7

2023-11-07 02:10:42 YAOGAN-36 05C        299.8 15.0  ecl  1900 142.2  44.7
2023-11-07 02:13:49 YAOGAN-36 05C        210.6 88.6  ecl  1900 142.2  44.7
2023-11-07 02:16:55 YAOGAN-36 05C        121.4 15.0  ecl  1900 142.2  44.7

2023-11-07 02:12:09 57626_OBJECT A         8.0 15.0  ecl  1900 142.2  44.7
2023-11-07 02:13:49 57626_OBJECT A        31.6 17.3  ecl  1900 142.2  44.7
2023-11-07 02:15:29 57626_OBJECT A        55.2 15.0  ecl  1900 142.2  44.7

2023-11-07 02:19:53 YUNHAI 2 3           198.0 15.0  ecl  1900 142.2  44.7
2023-11-07 02:24:14 YUNHAI 2 3           127.9 48.4  ecl  1900 142.2  44.7
2023-11-07 02:28:35 YUNHAI 2 3            57.9 15.0  ecl  1900 142.2  44.7

2023-11-07 02:29:41 YAOGAN-36 05B        290.7 15.0  ecl  1900 142.2  44.7
2023-11-07 02:32:44 YAOGAN-36 05B        212.3 61.0  ecl  1900 142.2  44.7
2023-11-07 02:35:47 YAOGAN-36 05B        133.9 15.0  ecl  1900 142.2  44.7

2023-11-07 02:50:56 57629_OBJECT D       339.9 15.0  ecl  1900 142.2  44.7
2023-11-07 02:54:28 57629_OBJECT D        37.4 32.7  ecl  1900 142.2  44.7
